Emit,Nodes,P1044,P1045,P140,P154,P155,P156,P157,P158,P160,P162,P246,P248,P264,P266,P372,P38,P40,P42,P43,P44,P46,P48,P49,P492,P51,P57,P58,P596,P609,P633,P823,P826,P827,P830,P831,P842,P844,P846,P847,P850,P851,P852,P853,P855,P858,P859,P861,P866,P871,J219,J220,J53,J54,J55,J56,J57,J58,J59,J236,J237,J60,J62,J64,J65,J66,J67,J68,J69,J241,J242,J243,J244,J245,J246,J247,J248,J249,J70,J71,J72,J73,J74,J76,J77,J250,J84,J85,J86,J61,J92,J118,T5,J219,J220,J53,J54,J55,J56,J57,J58,J59,J236,J237,J60,J62,J64,J65,J66,J67,J68,J69,J241,J242,J243,J244,J245,J246,J247,J248,J249,J70,J71,J72,J73,J74,J76,J77,J250,J84,J85,J86,J61,J92,J118,T5,J219,J220,J53,J54,J55,J56,J57,J58,J59,J236,J237,J60,J62,J64,J65,J66,J67,J68,J69,J241,J242,J243,J244,J245,J246,J247,J248,J249,J70,J71,J72,J73,J74,J76,J77,J250,J84,J85,J86,J61,J92,J118,T5
0,NL,10.52013,10.36013,0.43,4.00523,0.73477,0.3317,1.26415,0.35225,0.76225,0.50353,1.62938,2.49108,0.27,0.8117,0.01523,0.45696,0.98477,2.45013,0.13,4.53523,0.06,2.16013,0.35,0.2717,1.29,0.26353,0.21353,0.79719,1.16415,2.98013,0.06225,0.42775,0.4164,0.0964,1.11585,0.54061,0.66164,1.28757,1.14757,0.54312,0.27103,2.30477,9.85013,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-10.52013,54.16189,26.14587,21.67671,26.41665,35.46017,34.4015,47.24727,30.46809,49.22205,47.93295,32.79281,51.1741,46.22386,24.72913,24.72911,34.29283,25.47047,33.33932,35.33447,36.1694,41.16973,46.16634,36.04999,35.18485,50.94826,49.01358,52.0116,56.17761,36.33434,29.40366,31.38048,26.40906,31.37972,36.32181,30.38162,39.18308,62.35311,61.1745,56.16189,34.33631,34.32298,31.46614,1,106.16189,106.14587,106.67671,106.41665,106.46017,106.4015,106.24727,106.46809,106.22205,105.93295,105.93281,106.1741,106.22386,106.72913,106.72911,106.29283,106.47047,106.33932,106.33447,106.1694,106.16973,106.16634,106.04999,106.18485,105.94826,106.01358,106.0116,106.17761,106.33434,106.40366,106.38048,106.40906,106.37972,106.32181,106.38162,106.18308,106.17311,106.1745,106.16189,106.33631,106.32298,106.46614,106.8
0.126, J53,11.11245,10.95245,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,2.45013,0.13,4.53521,0.06,2.16013,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,2.98013,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,9.85013,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,1.10232,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.11245,54.14864,26.13262,21.66346,26.4034,35.44693,34.38825,47.23402,30.45484,49.2088,47.91971,32.77956,51.16084,46.2106,24.72156,24.72155,34.27959,25.45723,33.32607,35.32122,36.15615,41.15649,46.15309,36.03674,35.17161,50.93502,49.00034,51.99836,56.16436,36.3211,29.39041,31.36723,26.39582,31.36647,36.30857,30.36837,39.16984,62.33987,61.16126,56.14864,34.32306,34.30974,31.45289,1,106.14864,106.13262,106.66346,106.4034,106.44693,106.38825,106.23402,106.45484,106.2088,105.91971,105.91956,106.16084,106.2106,106.72156,106.72155,106.27959,106.45723,106.32607,106.32122,106.15615,106.15649,106.15309,106.03674,106.17161,105.93502,106.00034,105.99836,106.16436,106.3211,106.39041,106.36723,106.39582,106.36647,106.30857,106.36837,106.16984,106.15987,106.16126,106.14864,106.32306,106.30974,106.45289,106.8
0.1, J54,11.04357,10.88357,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,2.45013,0.13,4.53521,0.06,2.16013,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,3.50357,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.37357,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,1.05344,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.04357,54.12947,26.11346,21.66504,26.36548,35.42777,34.36909,47.21486,30.43568,49.18963,47.90055,32.7604,51.14168,46.19144,24.72246,24.72245,34.26042,25.43806,33.28815,35.2833,36.13699,41.13733,46.13392,36.01758,35.15244,50.91585,48.98117,51.97919,56.1452,36.28318,29.35249,31.32931,26.3579,31.32855,36.27064,30.33045,39.15068,62.32071,61.1421,56.12947,34.28514,34.27181,31.43373,1,106.12947,106.11346,106.66504,106.36548,106.42777,106.36909,106.21486,106.43568,106.18963,105.90055,105.9004,106.14168,106.19144,106.72246,106.72245,106.26042,106.43806,106.28815,106.2833,106.13699,106.13733,106.13392,106.01758,106.15244,105.91585,105.98117,105.97919,106.1452,106.28318,106.35249,106.32931,106.3579,106.32855,106.27064,106.33045,106.15068,106.14071,106.1421,106.12947,106.28514,106.27181,106.43373,106.8
0.098, J55,11.10932,10.94932,0.43,4.01625,0.72375,0.33853,1.26422,0.35224,0.76224,0.50773,1.63351,2.50204,0.27,0.81853,0.02625,0.43432,0.97375,2.45013,0.13,4.54625,0.06,2.16013,0.35,0.27853,1.29,0.26773,0.21773,0.81656,1.16087,2.98013,0.06224,0.42776,0.41645,0.09645,1.11578,0.53287,0.65293,1.84638,1.70638,0.54081,0.27006,2.88294,10.43932,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.73919,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.10932,54.12338,26.10736,21.66354,26.38006,35.41406,34.36066,47.20724,30.43028,49.18221,47.89499,32.75485,51.13525,46.18398,24.72161,24.72159,34.25544,25.43388,33.30273,35.29788,36.13123,41.13157,46.12804,36.01203,35.14691,50.9103,48.97562,51.97363,56.13962,36.29775,29.36707,31.34389,26.37247,31.34313,36.28522,30.34503,39.14513,62.31504,61.13647,56.12338,34.29972,34.28639,31.42648,1,106.12338,106.10736,106.66354,106.38006,106.41406,106.36066,106.20724,106.43028,106.18221,105.89499,105.89485,106.13525,106.18398,106.72161,106.72159,106.25544,106.43388,106.30273,106.29788,106.13123,106.13157,106.12804,106.01203,106.14691,105.9103,105.97562,105.97363,106.13962,106.29775,106.36707,106.34389,106.37247,106.34313,106.28522,106.34503,106.14513,106.13504,106.13647,106.12338,106.29972,106.28639,106.42648,106.8
0.1, J56,11.11175,10.95175,0.43,4.08729,0.65271,0.38189,1.26464,0.35215,0.76215,0.5354,1.66076,2.57266,0.27,0.86189,0.09729,0.64098,0.90271,2.45013,0.13,4.61729,0.06,2.16013,0.35,0.32189,1.29,0.2954,0.2454,1.09819,1.05755,2.98013,0.06215,0.42785,0.41678,0.09678,1.11536,0.56516,0.64907,1.49613,1.35613,0.47364,0.23391,2.81433,10.44175,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.68162,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.11175,54.11066,26.09464,21.66348,26.3799,35.41958,34.30992,47.18084,30.43028,49.16127,47.88593,32.74578,51.12046,46.16301,24.72157,24.72156,34.25009,25.43373,33.30257,35.29772,36.12084,41.12118,46.11677,36.00302,35.13797,50.90123,48.96655,51.96455,56.13043,36.2976,29.36691,31.34373,26.37232,31.34297,36.28507,30.34487,39.1361,62.30523,61.12695,56.11068,34.29956,34.28624,31.42771,1,106.11066,106.09464,106.66348,106.3799,106.41958,106.30992,106.18084,106.43028,106.16127,105.88593,105.88578,106.12046,106.16301,106.72157,106.72156,106.25009,106.43373,106.30257,106.29772,106.12084,106.12118,106.11677,106.00302,106.13797,105.90123,105.96655,105.96455,106.13043,106.2976,106.36691,106.34373,106.37232,106.34297,106.28507,106.34487,106.1361,106.12523,106.12695,106.11068,106.29956,106.28624,106.42771,106.8
0.086, J57,11.11049,10.95049,0.43,4.26631,0.47369,0.49133,1.26573,0.35192,0.76192,0.60498,1.72926,2.75058,0.27,0.97133,0.27631,0.54777,0.72369,2.45013,0.13,4.79631,0.06,2.16013,0.35,0.43133,1.29,0.36498,0.31498,0.95097,1.40874,2.98013,0.06192,0.42808,0.41764,0.09764,1.11427,0.62531,0.62482,1.46308,1.32308,0.31887,0.14951,2.63405,10.44049,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.94036,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.11049,54.07694,26.06092,21.6635,26.37996,35.4205,34.33843,47.11886,30.43074,49.10946,47.86299,32.72285,51.08235,46.11108,24.72159,24.72157,34.23675,25.43379,33.30263,35.29779,36.0943,41.09463,46.08759,35.98019,35.11537,50.87827,48.94359,51.94156,56.10713,36.29766,29.36698,31.3438,26.37238,31.34304,36.28513,30.34494,39.11325,62.28022,61.10277,56.07713,34.29963,34.2863,31.42827,1,106.07694,106.06092,106.6635,106.37996,106.4205,106.33843,106.11886,106.43074,106.10946,105.86299,105.86285,106.08235,106.11108,106.72159,106.72157,106.23675,106.43379,106.30263,106.29779,106.0943,106.09463,106.08759,105.98019,106.11537,105.87827,105.94359,105.94156,106.10713,106.29766,106.36698,106.3438,106.37238,106.34304,106.28513,106.34494,106.11325,106.10022,106.10277,106.07713,106.29963,106.2863,106.42827,106.8
0.1, J58,11.07935,10.91935,0.43,4.00729,0.73271,0.33305,1.26416,0.35225,0.76225,0.50423,1.63007,2.49312,0.27,0.81305,0.01729,0.45645,0.98271,2.45013,0.13,4.53729,0.06,2.16013,0.35,0.27305,1.29,0.26423,0.21423,0.79631,1.16276,2.98013,0.06225,0.42775,0.41641,0.09641,1.11584,0.53995,0.66052,1.2864,1.1464,0.5422,0.27057,2.86193,10.40935,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.77922,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.07935,54.12684,26.11082,21.66422,26.38197,35.42433,34.36578,47.21189,30.43224,49.18675,47.89801,32.75787,51.13898,46.18855,24.722,24.72198,34.258,25.43579,33.30463,35.29979,36.13442,41.13476,46.13133,36.01505,35.14992,50.91332,48.97864,51.97666,56.14267,36.29966,29.36898,31.3458,26.37438,31.34504,36.28713,30.34694,39.14815,62.31815,61.13956,56.12684,34.30163,34.2883,31.43029,1,106.12684,106.11082,106.66422,106.38197,106.42433,106.36578,106.21189,106.43224,106.18675,105.89801,105.89787,106.13898,106.18855,106.722,106.72198,106.258,106.43579,106.30463,106.29979,106.13442,106.13476,106.13133,106.01505,106.14992,105.91332,105.97864,105.97666,106.14267,106.29966,106.36898,106.3458,106.37438,106.34504,106.28713,106.34694,106.14815,106.13815,106.13956,106.12684,106.30163,106.2883,106.43029,106.8
0.084, J59,11.10875,10.94875,0.43,4.30116,0.43884,0.51265,1.26594,0.35187,0.76187,0.61851,1.74257,2.78522,0.27,0.99265,0.31116,0.52974,0.68884,2.45013,0.13,4.83116,0.06,2.16013,0.35,0.45265,1.29,0.37851,0.32851,0.92254,1.36228,2.98013,0.06187,0.42813,0.41781,0.09781,1.11406,0.63518,0.82218,1.45492,1.31492,0.67528,0.33699,2.59746,10.43875,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.80862,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.10875,54.07013,26.05411,21.66354,26.38007,35.42081,34.34366,47.13732,30.43093,49.09957,47.85853,32.71839,51.07483,46.10227,24.72161,24.7216,34.2342,25.4339,33.30274,35.2979,36.08909,41.08943,46.08181,35.97576,35.11098,50.87381,48.93912,51.93709,56.1026,36.29777,29.36709,31.34391,26.37249,31.34315,36.28524,30.34505,39.1088,62.27533,61.09806,56.07037,34.29974,34.28641,31.42848,1,106.07013,106.05411,106.66354,106.38007,106.42081,106.34366,106.13732,106.43093,106.09957,105.85853,105.85839,106.07483,106.10227,106.72161,106.7216,106.2342,106.4339,106.30274,106.2979,106.08909,106.08943,106.08181,105.97576,106.11098,105.87381,105.93912,105.93709,106.1026,106.29777,106.36709,106.34391,106.37249,106.34315,106.28524,106.34505,106.1088,106.09533,106.09806,106.07037,106.29974,106.28641,106.42848,106.8
0.082, J60,11.10608,10.94608,0.43,4.38217,0.35783,0.56223,1.26646,0.35176,0.76176,0.64994,1.77349,2.86572,0.27,1.04223,0.39217,0.50894,1.19378,2.45013,0.13,4.91217,0.06,2.16013,0.35,0.50223,1.29,0.40994,0.35994,0.88671,1.30565,2.98013,0.06176,0.42824,0.41822,0.09822,1.11354,0.60813,0.77627,1.40707,1.26707,0.63751,0.31814,2.51378,10.43608,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.83595,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.10608,54.0538,26.03778,21.6636,26.38024,35.42181,34.35018,47.15944,30.43127,49.12551,47.84796,32.70782,51.05702,46.12794,24.72164,24.72163,34.22812,25.43407,33.30291,35.29807,36.07673,41.07707,46.06803,35.96525,35.10057,50.86323,48.92855,51.9265,56.09187,36.29794,29.36726,31.34408,26.37266,31.34332,36.28541,30.34522,39.09828,62.26373,61.08689,56.05416,34.29991,34.28658,31.42897,1,106.0538,106.03778,106.6636,106.38024,106.42181,106.35018,106.15944,106.43127,106.12551,105.84796,105.84782,106.05702,106.12794,106.72164,106.72163,106.22812,106.43407,106.30291,106.29807,106.07673,106.07707,106.06803,105.96525,106.10057,105.86323,105.92855,105.9265,106.09187,106.29794,106.36726,106.34408,106.37266,106.34332,106.28541,106.34522,106.09828,106.08373,106.08689,106.05416,106.29991,106.28658,106.42897,106.8
0.1, J61,11.10505,10.94505,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.03505,0.13,4.53521,0.06,2.74505,0.35,0.27179,1.87492,0.26342,0.21342,0.7972,1.16417,3.56505,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.43505,0.29,0.49,2.67505,0.35013,1.17492,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.91492,0.2,0.14,-11.10505,54.12555,26.10953,21.66363,26.35912,35.42384,34.36516,47.21093,30.43175,49.18571,47.89662,32.75647,51.13775,46.18751,24.72166,24.72164,34.2565,25.43414,33.22007,35.20746,36.13306,41.1334,46.13,36.01365,35.14852,50.91193,48.97725,51.97527,56.14127,36.20734,29.33943,31.30348,26.34785,31.30272,36.20257,30.30462,39.14675,62.31678,61.13817,56.12555,34.2093,34.20374,31.4298,1,106.12555,106.10953,106.66363,106.35912,106.42384,106.36516,106.21093,106.43175,106.18571,105.89662,105.89647,106.13775,106.18751,106.72166,106.72164,106.2565,106.43414,106.22007,106.20746,106.13306,106.1334,106.13,106.01365,106.14852,105.91193,105.97725,105.97527,106.14127,106.20734,106.33943,106.30348,106.34785,106.30272,106.20257,106.30462,106.14675,106.13678,106.13817,106.12555,106.2093,106.20374,106.4298,106.8
