		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
		m	LPS	m	m	LPS
1	00:00:00	0.00	0.00	19.82	19.82	0.00
2	00:00:00	0.00	0.00	19.70	19.70	0.00
3	00:00:00	0.00	0.00	19.67	19.67	0.00
4	00:00:00	0.00	0.00	19.69	19.69	0.00
5	00:00:00	0.00	0.00	19.71	19.71	0.00
6	00:00:00	0.00	0.00	19.76	19.76	0.00
7	00:00:00	0.00	0.00	19.76	19.76	0.00
9	00:00:00	0.00	0.00	19.68	19.68	0.00
8	00:00:00	0.00	0.00	19.69	19.69	0.00
101	00:00:00	0.00	0.00	19.65	19.65	0.00
101d	00:00:00	0.00	10.00	19.62	19.62	10.00
102	00:00:00	0.00	0.00	19.61	19.61	0.00
102d	00:00:00	0.00	15.00	19.54	19.54	15.00
100r	00:00:00	20.00	0.00	0.00	20.00	-25.00
