		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
		m	LPS	m	m	LPS
1	00:00:00	0.00	0.00	19.79	19.79	2.14
2	00:00:00	0.00	0.00	19.67	19.67	0.00
3	00:00:00	0.00	0.00	19.64	19.64	0.00
4	00:00:00	0.00	0.00	19.66	19.66	0.00
5	00:00:00	0.00	0.00	19.67	19.67	0.00
6	00:00:00	0.00	0.00	19.72	19.72	0.00
7	00:00:00	0.00	0.00	19.73	19.73	0.00
9	00:00:00	0.00	0.00	19.65	19.65	0.00
8	00:00:00	0.00	0.00	19.66	19.66	0.00
101	00:00:00	0.00	0.00	19.62	19.62	0.00
101d	00:00:00	0.00	10.00	19.59	19.59	10.00
102	00:00:00	0.00	0.00	19.57	19.57	0.00
102d	00:00:00	0.00	15.00	19.51	19.51	15.00
100r	00:00:00	20.00	0.00	0.00	20.00	-27.14
