		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
P1	00:00:00	52.90	203.00	72.45	0.95	0.03	0.02	0.11
P10	00:00:00	79.23	76.00	108.01	1.60	0.35	3.44	0.04
P100	00:00:00	107.88	406.00	76.51	192.31	1.49	13.19	0.05
P1000	00:00:00	109.27	203.00	76.95	40.92	1.26	21.74	0.05
P101	00:00:00	243.37	254.00	84.21	0.46	9.03e-03	1.50e-03	0.09
P1016	00:00:00	164.77	305.00	85.24	36.74	0.50	2.03	0.05
P102	00:00:00	1.28e+03	508.00	92.95	173.78	0.86	2.56	0.03
P1022	00:00:00	200.76	102.00	99.58	0.16	0.02	0.01	0.07
P1023	00:00:00	136.34	102.00	95.69	1.12	0.14	0.53	0.06
P1024	00:00:00	375.62	102.00	89.62	2.98	0.37	3.67	0.06
P1025	00:00:00	39.18	76.00	97.78	3.26	0.72	15.39	0.04
P1026	00:00:00	45.61	76.00	88.45	2.21	0.49	9.03	0.06
P1027	00:00:00	82.32	51.00	92.01	0.59	0.29	5.14	0.06
P1028	00:00:00	9.57	51.00	86.99	0.03	0.01	0.02	0.11
P1029	00:00:00	122.62	76.00	91.34	0.85	0.19	1.45	0.06
P103	00:00:00	35.98	254.00	79.37	8.01	0.16	0.34	0.07
P1030	00:00:00	95.25	76.00	104.61	1.72	0.38	4.15	0.04
P1031	00:00:00	188.28	152.00	84.37	10.88	0.60	6.45	0.05
P1032	00:00:00	143.29	152.00	98.43	10.09	0.56	4.22	0.04
P1033	00:00:00	128.79	152.00	84.69	10.03	0.55	5.51	0.05
P1034	00:00:00	52.87	203.00	97.42	0.51	0.02	4.13e-03	0.07
P1035	00:00:00	122.47	152.00	97.76	3.41	0.19	0.57	0.05
P1036	00:00:00	83.33	203.00	74.30	9.33	0.29	1.50	0.07
P1039	00:00:00	121.38	203.00	92.14	5.51	0.17	0.38	0.05
P104	00:00:00	33.11	203.00	99.89	0.31	9.70e-03	1.62e-03	0.07
P1040	00:00:00	29.45	152.00	94.69	2.78	0.15	0.42	0.05
P1041	00:00:00	307.54	102.00	112.51	2.44	0.30	1.66	0.04
P1042	00:00:00	84.54	152.00	76.15	2.09	0.12	0.37	0.08
P1044	00:00:00	65.80	203.00	100.22	17.33	0.54	2.72	0.04
P1045	00:00:00	68.63	203.00	118.82	17.60	0.54	2.04	0.03
P106	00:00:00	270.38	102.00	63.55	2.06	0.25	3.49	0.11
P107	00:00:00	357.00	203.00	80.51	5.19	0.16	0.44	0.07
P108	00:00:00	183.53	203.00	78.72	1.65	0.05	0.05	0.08
P109	00:00:00	218.52	203.00	76.89	5.83	0.18	0.59	0.07
P11	00:00:00	83.45	101.60	96.83	0.83	0.10	0.30	0.06
P110	00:00:00	425.83	508.00	98.99	170.73	0.84	2.20	0.03
P111	00:00:00	126.36	152.00	72.41	0.38	0.02	0.02	0.12
P112	00:00:00	646.98	305.00	68.60	1.30	0.02	6.19e-03	0.12
P113	00:00:00	310.73	152.00	85.35	5.99	0.33	2.09	0.06
P115	00:00:00	99.88	102.00	91.23	7.94	0.97	21.75	0.05
P116	00:00:00	204.54	152.00	93.47	3.47	0.19	0.64	0.05
P117	00:00:00	104.00	102.00	67.96	4.17	0.51	11.40	0.09
P118	00:00:00	115.91	102.00	84.67	2.23	0.27	2.39	0.06
P119	00:00:00	64.88	305.00	78.14	0.21	2.90e-03	1.70e-04	0.12
P12	00:00:00	85.24	406.00	89.66	32.12	0.25	0.36	0.05
P120	00:00:00	91.40	102.00	88.39	2.84	0.35	3.45	0.06
P121	00:00:00	42.23	152.00	100.37	0.38	0.02	9.31e-03	0.06
P122	00:00:00	45.06	305.00	78.98	14.42	0.20	0.41	0.06
P123	00:00:00	51.21	152.00	61.06	1.86	0.10	0.45	0.13
P124	00:00:00	99.09	102.00	78.83	0.66	0.08	0.28	0.09
P125	00:00:00	193.35	508.00	84.74	4.04	0.02	2.86e-03	0.07
P126	00:00:00	109.60	76.00	89.74	0.70	0.15	1.04	0.07
P127	00:00:00	87.22	102.00	73.68	1.05	0.13	0.77	0.09
P128	00:00:00	165.63	102.00	90.95	0.69	0.08	0.23	0.07
P129	00:00:00	79.59	102.00	78.07	0.51	0.06	0.18	0.09
P13	00:00:00	62.56	406.00	83.04	37.46	0.29	0.55	0.05
P130	00:00:00	56.79	76.00	70.71	1.08	0.24	3.66	0.10
P131	00:00:00	86.50	76.00	74.73	0.26	0.06	0.24	0.11
P132	00:00:00	67.35	76.00	88.54	0.80	0.18	1.39	0.07
P134	00:00:00	68.79	76.00	78.57	1.26	0.28	4.01	0.08
P136	00:00:00	241.77	102.00	75.73	1.34	0.16	1.14	0.08
P138	00:00:00	19.28	254.00	72.49	41.93	0.83	8.52	0.06
P139	00:00:00	73.66	406.00	68.72	31.78	0.25	0.57	0.08
P14	00:00:00	151.39	406.00	72.01	38.22	0.30	0.74	0.07
P140	00:00:00	222.30	102.00	107.83	0.71	0.09	0.18	0.05
P141	00:00:00	169.94	102.00	103.79	0.58	0.07	0.11	0.04
P142	00:00:00	16.61	152.40	85.39	2.60	0.14	0.44	0.06
P144	00:00:00	130.79	76.00	99.92	3.98	0.88	21.39	0.04
P147	00:00:00	60.08	203.00	92.84	0.61	0.02	6.30e-03	0.07
P148	00:00:00	561.69	305.00	96.44	36.74	0.50	1.61	0.04
P15	00:00:00	395.29	406.00	90.48	38.86	0.30	0.50	0.04
P150	00:00:00	93.19	152.00	103.15	1.20	0.07	0.07	0.05
P154	00:00:00	170.64	152.00	108.83	19.92	1.10	12.34	0.03
P155	00:00:00	59.38	101.60	105.71	6.99	0.86	13.31	0.04
P156	00:00:00	80.34	102.00	110.87	4.01e-03	4.91e-04	8.64e-06	0.07
P157	00:00:00	232.93	102.00	102.90	1.22	0.15	0.55	0.05
P158	00:00:00	69.88	76.00	105.07	0.73	0.16	0.85	0.05
P159	00:00:00	118.78	203.00	80.15	3.11	0.10	0.17	0.07
P16	00:00:00	252.34	102.00	97.25	4.43	0.54	6.56	0.04
P160	00:00:00	68.68	76.00	104.63	1.40	0.31	2.86	0.04
P161	00:00:00	40.31	76.00	90.01	2.48	0.55	10.83	0.05
P162	00:00:00	190.67	152.00	98.76	25.18	1.39	22.80	0.04
P163	00:00:00	67.74	203.00	94.23	1.18	0.04	0.02	0.06
P165	00:00:00	143.81	305.00	92.93	36.72	0.50	1.73	0.04
P166	00:00:00	235.00	101.60	93.60	4.37	0.54	6.98	0.05
P17	00:00:00	32.42	508.00	77.28	165.33	0.82	3.28	0.05
P174	00:00:00	278.59	102.00	89.32	0.96	0.12	0.45	0.07
P177	00:00:00	56.80	102.00	100.61	0.79	0.10	0.25	0.05
P18	00:00:00	283.30	508.00	100.30	162.71	0.80	1.97	0.03
P184	00:00:00	59.38	101.60	95.91	8.33	1.03	22.07	0.04
P19	00:00:00	750.87	508.00	97.70	52.44	0.26	0.25	0.04
P195	00:00:00	144.33	76.00	80.63	1.09	0.24	2.89	0.07
P2	00:00:00	295.25	203.00	62.05	7.10	0.22	1.26	0.10
P20	00:00:00	579.67	508.00	89.67	38.85	0.19	0.17	0.05
P201	00:00:00	102.19	76.00	96.63	0.78	0.17	1.11	0.06
P21	00:00:00	176.48	406.00	86.69	17.35	0.13	0.12	0.05
P211	00:00:00	202.33	76.00	84.05	0.62	0.14	0.96	0.08
P215	00:00:00	140.76	254.00	81.42	21.61	0.43	2.01	0.06
P218	00:00:00	54.55	102.00	81.77	0.71	0.09	0.31	0.08
P219	00:00:00	67.98	102.00	86.84	0.36	0.04	0.08	0.08
P22	00:00:00	567.30	406.00	81.11	192.05	1.48	11.81	0.04
P220	00:00:00	68.33	76.00	93.74	0.75	0.17	1.10	0.06
P223	00:00:00	108.98	203.00	93.22	0.76	0.02	9.53e-03	0.07
